========================================================================================
GondarII              	       DeviceKey
========================================================================================

========================================================================================		  
				   Change History
========================================================================================
v01.00.00     			Date: <08/06/2010>	    	Remarks: <ALL>
========================================================================================



###### Setup Codes For Audio - Amplifier (A) ######

Vudu                                    2298
Western Digital                         2558
Winegard                                2454
Woxter                                  2535
Xbox                                    2049, 1272
Zenith                                  1415
Zentech                                 2491
Zinwell                                 2488
ZT Group                                1272


--- DTA Converter (N) ---

Access HD                               2185
Airlink 101                             2491
Alpha Digital                           2185
AMTC                                    2185
Apex Digital                            2478
Artec                                   2490
Channel Master                          2365
Coby                                    2667
Coship                                  2487
Daewoo                                  2338
Digital Stream                          2303
Dish Network                            2470
Echostar                                2470
GE                                      2360, 2450
Goodmind                                2450
Insignia                                1415
Magnavox                                1563
Memorex                                 2486
Philco                                  1563
RCA                                     2325, 2454
Sylvania                                1563
Tivax                                   2185
Ventura                                 2454
Venturer                                2454
Winegard                                2454
Zenith                                  1415
Zentech                                 2491
Zinwell                                 2488


--- Game Console (N) ---

Microsoft                               2049
Xbox                                    2049


--- Media Center Controller (N) ---

ABS                                     1272
Acer                                    1272
Alienware                               1272
Apple                                   2615
Claritas                                1272
CyberPower                              1272
Daily Media                             1272
DVICO                                   2153
Elonex                                  1272
Emtec                                   2535
Fujitsu Siemens                         1272
Gateway                                 1272
Hewlett Packard                         1272
Howard Computers                        1272
HP                                      1272
Hush                                    1272
iBUYPOWER                               1272
Iomega                                  2270
LaCie                                   2238
Linksys                                 1272
me2                                     2270, 2535
Media Center PC                         1272
Microsoft                               2049, 1272
Mind                                    1272
Niveus Media                            1272
Northgate                               1272
Olidata                                 2270
Packard Bell                            1272, 2238
Philips                                 1272
RaidSonic                               2238
Ricavision                              1272
Sony                                    1272
Stack 9                                 1272
Systemax                                1272
Tagar Systems                           1272
Toshiba                                 1272
Touch                                   1272
Trust                                   1272
TViX                                    2153
VIA Technologies                        1272
Viewsonic                               1272
Voodoo                                  1272
Xbox                                    2049
ZT Group                                1272


###### Setup Codes For Audio - Receiver (R) ######

AEG                                     1389, 1390
AFK                                     1389
Aiwa                                    1405, 0121, 1089, 1827
Akai                                    0609, 1390
Alco                                    1390
All-Tel                                 1390
AMC                                     1077
Amstrad                                 1390
Anam                                    1609, 0609
Arcam                                   1189, 0642, 1120
ASCOMTEC                                1389
Audiolab                                1189
Audiosonic                              1389
Audiotronic                             1189
Audiovox                                1390
Audioworld                              1390
Bang & Olufsen                          0799
Belson                                  1389
Binatone                                1389
Blue Sky                                1390
Bose                                    1229, 1629, 1933
Cambridge Audio                         1647
Cameron                                 2426
Carver                                  1189, 0121, 1089
Cat                                     1389
Clatronic                               1389
Coby                                    1389
Curtis                                  1389
Daewoo                                  1293
Dantax                                  1390
Denon                                   2857, 1360, 0771, 1460, 2279, 2820
Denver                                  1389
Diamond                                 1390
Dual                                    1390
Elta                                    1390
Fine Arts                               1189
Fisher                                  1801
Fonmix                                  1360
Goodmans                                0609, 1389, 1390
Grundig                                 1189, 1089
Grunkel                                 1390
Hanseatic                               1390
Harman/Kardon                           1189, 1304, 1306, 2241, 2443
HCM                                     1390
HE                                      1389
Hitachi                                 1801
Hiteker                                 1389
HitPlus                                 2483
Home Tech Industries                    1389
Insignia                                1077, 2126, 2169
Integra                                 0135, 1298, 1320, 1805
JBL                                     1304, 1306
JVC                                     0074, 1374, 1495, 1676, 2239, 2331
Kenwood                                 1313, 0712, 1293
KLH                                     1390
KXD                                     1389
Lenoxx                                  1389
LG                                      1293, 2197, 2676
Magnat                                  1389
Magnavox                                1189, 1269, 1089
Marantz                                 1189, 1269, 0642, 1089, 1289, 2114, 2117
McIntosh                                1289
Medion                                  2197
MEI                                     1390
Micromega                               1189
Musicmagic                              1089
Muvid                                   2476
Myryad                                  1189
NAD                                     0320, 0609
Nakamichi                               1313
Nexius                                  1390
Nikkai                                  1389
Nikko                                   0609
Norcent                                 1389
Nova                                    1389
Onkyo                                   0135, 1298, 1320, 1805
Optimus                                 1023
Palladium                               1293, 1390
Panasonic                               1308, 1518, 1288, 1309, 1548, 1633, 1763, 1765, 
                                        1779, 2221, 2452, 2967
Philco                                  1390
Philips                                 1189, 1269, 0642, 1089, 1120, 1266, 1289, 1673, 
                                        1831, 2029, 2311, 2341, 2459
Pioneer                                 1023, 1123, 1284, 1459, 1623, 1935
PJ                                      1389
Polk Audio                              1289
Proficient                              0609
Proline                                 1390
Proscan                                 1254
ProVision                               1389
Qisheng                                 1609, 1390
QONIX                                   1390
Quadro                                  1389
Radionette                              1293
RCA                                     1023, 1609, 1254, 1123, 1390, 1459, 2426, 2490
Redstar                                 1389
Revox                                   1089
Rotel                                   0793
Samsung                                 1295, 1304, 1500, 1868
Sansui                                  0609, 1089
Sanyo                                   1801
Schneider                               1390
Scott                                   1389
Sharp                                   0771
Sherwood                                1077, 1905, 2169
Sherwood Newcastle                      2169
Shinco                                  1390
Siemens                                 0609
Silsonic                                0176
Silva Schneider                         1390
Sony                                    1759, 1058, 1441, 1258, 1622, 2522, 2475, 2172, 
                                        1882, 1858, 1827, 1822, 1758, 1722, 1658, 1558, 
                                        1454, 1358, 1158, 1112
Soundwave                               0609
Stereophonics                           1023
Sunfire                                 1313
Sungoo                                  1313
TAG McLaren                             1189
Targa                                   1293
Teac                                    1609, 0609, 1390
