========================================================================================
GondarII              	       DeviceKey
========================================================================================

========================================================================================		  
				   Change History
========================================================================================
v01.00.00     			Date: <08/06/2010>	    	Remarks: <ALL>
========================================================================================



###### Setup Codes For Audio - Amplifier (A) ######

Sunstar                                 0009, 0037, 0371
Sunstech                                2001
Sunwood                                 0037
Superscan                               0093, 0864
Supersonic                              0009, 0208
SuperTech                               0009, 0037, 0556
Supra                                   0178, 0009
Supreme                                 0000
Susumu                                  0335
Sutron                                  0009
SVA                                     0587
Svasa                                   0208
Swedx                                   1606
Swisstec                                1606, 1745, 1849, 2104, 2106
Sylvania                                1864, 0171, 0587, 1394, 1665, 1886
Symphonic                               0171, 1394
Synco                                   0000, 1755, 0093, 0178
Syntax                                  1610, 1144, 1240, 1331
Sysline                                 0037
Tacico                                  0178, 0009
Tai Yi                                  0009
Taishan                                 0009
Talent                                  0178
Tandy                                   0093
Tashiko                                 0650
Tatung                                  0156, 0009, 0037, 1248, 1324, 1556, 1720, 1756
TCL                                     0706, 0698, 2403, 2429
TCM                                     0714, 1308, 2001
Teac                                    1755, 0178, 0171, 0706, 2032, 1983, 1770, 1645, 
                                        1363, 1248, 1037, 0714, 0698, 0668, 0587, 0512, 
                                        0037, 0009
Tec                                     0009, 0037, 0335
Tech Line                               0037, 0668, 1163
Technica                                1037
Technics                                0250, 0556, 0650
Technika                                1667, 1849, 1865, 1983, 2032, 2106
TechniSat                               0556
Technisson                              0714, 1652
Techno                                  1585
Technosonic                             0556, 0625, 1324, 2032
Techvision                              2032
Techwood                                1037, 1163, 1667
Tecnimagen                              0556
Teco                                    1523, 0093, 0053, 0178, 0009, 0653, 0762, 1097, 
                                        1838
Tedelex                                 0009, 0208, 0606
Teiron                                  0009
Tek                                     0820
TELE System                             1585
Teleavia                                0343
Telecor                                 0037
Telefunken                              0037, 0335, 0343, 0560, 0587, 0625, 0698, 0714, 
                                        0820, 0896, 1556, 1585
Telefusion                              0037
Telegazi                                0037
Telemeister                             0037
Telesonic                               0037
Telestar                                0009, 0037, 0556
Teletech                                0009, 0037, 0668, 1037
Teleview                                0037
Tempest                                 0009
Tennessee                               0037
Tensai                                  0009, 0037, 0371, 1037
Tenson                                  0009
Tesla                                   0037, 0556, 0714, 1037, 1652
Tevion                                  0037, 0556, 0668, 0714, 1037, 1248, 1298, 1556, 
                                        1585, 1645, 1667, 2032
Texet                                   0009
Thomson                                 1447, 0037, 0335, 0343, 0560, 0625
Thorn                                   0035, 0037, 0335, 0343, 0512
Thorn-Ferguson                          0335, 0343
Tiane                                   0093
TMK                                     0178
TML                                     1756
Tobo                                    0009
Tokai                                   0009, 0037, 0668, 1037
Tokaido                                 1037
Tokyo                                   0035
Tongtel                                 0587
Topline                                 0668, 1037
Toshiba                                 1524, 0156, 0093, 2311, 2203, 2006, 1743, 1704, 
                                        1556, 1508, 1291, 1173, 1169, 1037, 0650, 0618, 
                                        0508, 0195, 0035, 0009
Tosumi                                  1770
Toyoda                                  0009, 0371
TRANS-continents                        0037, 0556, 0668, 1037
Transonic                               0009, 0037, 0512, 0587, 0698, 1363
Triad                                   0556
Trio                                    1248
Triumph                                 0037, 0556
TruTech                                 1665
Tuntex                                  0009
TVTEXT 95                               0556
Uher                                    0037, 0480
Ultravox                                0037
UMC                                     1606, 1745, 1849, 2106
Unic Line                               0037
Uniden                                  2122
United                                  0037, 0556, 0587, 0714, 1037, 1652, 1770, 1983
Universal                               0037, 0714
Universum                               0009, 0037, 0195, 0480, 0512, 0618, 0668, 1037, 
                                        1163
Univox                                  0037
V7 Videoseven                           1755, 1217, 1666
Venturer                                1865
Vestel                                  0037, 0668, 1037, 1163, 1585, 1667
Vexa                                    0009, 0037
Victor                                  0250, 0053, 0650, 0653, 1428
Videocon                                0037, 0508
Videomac                                0009
VideoSystem                             0037
Vidtech                                 0178
Viewsonic                               1755, 0864, 0885, 1365, 1627, 1745, 2087, 2111, 
                                        2277
Viore                                   2104, 2352
Vision                                  0037
Vistron                                 1363
Visual Innovations                      2106
Vito                                    1852
Vivax                                   1308
Vivid                                   1308
Vizio                                   1758, 0864, 0885, 1756, 2209
Vortec                                  0037
Voxson                                  0178, 0037
VU                                      2098
Vue                                     1236
Walker                                  1667
Waltham                                 0037, 0443, 0668, 1037
Wansa                                   2098
Wards                                   0000, 0156, 0178
Warumaia                                0661
Watson                                  0009, 0037, 0668, 0714, 1037
Waycon                                  0156
Wega                                    0037
Wegavox                                 0009
Weipai                                  0009
Welltech                                0714, 1652
Weltstar                                1037
Westinghouse                            1712, 1755, 0885, 1217, 1577, 2293
Wharfedale                              0037, 0556, 0860, 0896, 1324, 1556, 1667, 1983
White Westinghouse                      0037
Wilson                                  0556
Windsor                                 0668, 1037
Windy Sam                               0556
Wintel                                  0714
World-of-Vision                         1217, 1298, 1606, 2001
Wyse                                    1365
Xenius                                  0634, 0661
Xiahua                                  0009, 0698, 0773
Xianghai                                0009
Xiangyu                                 0009
Xingfu                                  0009
Xiron                                   1983
XLogic                                  0698, 0860
Xomax                                   1770
Xoro                                    1217
Xrypton                                 0037
Yamaha                                  0650, 1576
Yamishi                                 0037
Yapshe                                  0250
Yingge                                  0009
Yokan                                   0037
Yoko                                    0009, 0037
Yonggu                                  0009
Yousida                                 0009
YU-MA-TU                                0037
Yuhang                                  0009
Zenith                                  0000, 1423, 0178, 0037, 1305, 1365
Zepto                                   1585
ZhuHai                                  0009
Zonda                                   0698


--- HDTV (T) ---

Memorex                                 1670
Olevia                                  1610
Panasonic                               0250, 0650, 1291
Pioneer                                 0679
Proscan                                 1447
RCA                                     1447
Samsung                                 0812


--- HTiB (T) ---

Panasonic                               0250


--- Portable TV (T) ---

SEG                                     1163
Sony                                    1825
Viore                                   2352


--- Rear Projection TV (T) ---

Akai                                    0812
GE                                      1447
Hitachi                                 1643
JVC                                     0653, 1601, 1774
Magnavox                                1454
Mitsubishi                              1250
Panasonic                               1480, 0250, 0650, 1291, 1650
Philips                                 0037, 0556
Pioneer                                 0679
Proscan                                 1447
Pye                                     0037
RCA                                     1447
Samsung                                 0812, 0618, 1249, 1312, 1619, 2051
Sanyo                                   1142
Sony                                    0810, 0000, 1505, 1651, 1825
Thomson                                 0625
Toshiba                                 1524, 0156, 1508


--- TV/DVD Combination (T) ---

Acoustic Solutions                      1865
Akai                                    1675, 1865
Akura                                   1770, 1983
Alba                                    0587, 2104
Audiosonic                              1983, 2104
Black Diamond                           1037
Blue Sky                                1037, 2153
Bush                                    0587, 0698, 1037, 1556, 1983, 2104
cello                                   1770
Centrum                                 1037
Coby                                    2350
Crown                                   1037
Denver                                  0587, 1770
DMTech                                  2001
Dual                                    1037
Dynex                                   2049, 2184
Easy Living                             2104
Electrohome                             1670
Elfunk                                  1037
Emerson                                 1864, 1394
Ferguson                                1037
Finlux                                  1556
Gold                                    1770
Goodmans                                1037, 1983
H & B                                   2001
Hanseatic                               2001
Hikona                                  1983
Hitachi                                 1037
Hyundai                                 1770
Insignia                                2049
JVC                                     1774, 2271
Lenco                                   0587, 1983
LG                                      1423
Logik                                   1037, 1865
Luxor                                   1037
Magnavox                                1866, 2372
Marks and Spencer                       1770
Matsui                                  1037
Memorex                                 1670
Memory                                  1983
Mx Onda                                 1983
Nimbro                                  2104
Nordmende                               2001
Onn                                     1770
Onyx                                    1770
Opera                                   1770
Otic                                    1983
Palsonic                                1849
Panasonic                               1291
Philips                                 1454, 0556, 1394
Plustron                                1770
Polaroid                                1523
Powerpoint                              0698, 1770
Proscan                                 2256
Prosonic                                1770, 1865, 2001
Pvision                                 2001
RCA                                     1447, 2187
Sansui                                  1670
Schaub Lorenz                           2001
Scott                                   1983
SEG                                     1037
Sharp                                   0818
Shinelco                                2104
Sontech                                 1983
Sunstech                                2001
Swisstec                                2104
Sylvania                                1864, 0171, 1394, 1886
Teac                                    0587, 0698, 1770, 1983
Technica                                1037
Technika                                1865, 1983, 2106
Telefunken                              0698
Teletech                                1037
Thomson                                 0625
Toshiba                                 1524, 2006
Tosumi                                  1770
Transonic                               0587
UMC                                     2106
United                                  0587, 1037, 1770, 1983
Venturer                                1865
Vestel                                  1037
Viore                                   2104, 2352
Weltstar                                1037
Wharfedale                              1983
Xiron                                   1983
Xomax                                   1770


--- TV/VCR Combination (T) ---

Amstrad                                 0171
Ferguson                                0625
Fidelity                                0171
GE                                      0093
GoldStar                                0037
Grundig                                 0037, 0195, 0556
JVC                                     0053
LG                                      0178
Memorex                                 0250
Mitsubishi                              0093, 0556
Panasonic                               0250
Philips                                 0037, 0556
Quasar                                  0250
Radiola                                 0556
RCA                                     0093
Saba                                    0625
Schneider                               0037, 0556
Sharp                                   0818, 0093
Siemens                                 0037
Sony                                    0000, 1505
Teac                                    0178, 0171
Technics                                0556
Thomson                                 0625
Toshiba                                 2006


--- Video Projector (T) ---

Barco                                   0556
NEC                                     1704
Sanyo                                   1649


###### Setup Codes For Video - VCR (V) ######

Admiral                                 0048, 0479
AEG                                     1593
Aim                                     0348, 0642
Aiwa                                    0032, 0037, 0348, 0352, 0479, 0742, 1137
Akai                                    0037, 0240, 0348, 0352, 0642
Alba                                    0081, 0348, 0352
Allegro                                 0039, 1137
Allorgan                                0240
Allstar                                 0081
American High                           0035
Amoisonic                               0479
Anam                                    0162, 0037, 0240, 0226
Anam National                           0162, 0226, 1562
Aristona                                0081
ASA                                     0037, 0081
Asha                                    0240
Asuka                                   0037, 0081
Audiolab                                0081
Audiovox                                0037
AVP                                     0352
Awa                                     0037, 0043, 0320, 0642
Baird                                   0104
Basic Line                              0104
Beaumark                                0240
Beko                                    0104
Bell & Howell                           0104
Black Diamond                           0642
Blaupunkt                               0162, 0081, 0226
Blue Sky                                0037, 0348, 0352, 0642, 0742, 1137
Brandt                                  0320
Brinkmann                               0348
Broksonic                               0184, 0348, 0479, 0742
Bush                                    0081, 0348, 0352, 0642, 0742
Calix                                   0037
Canon                                   0035
Carena                                  0081
Carrefour                               0045
Carver                                  0081
Centrum                                 1593
Changhong                               0048, 0081
CineVision                              1137
Citizen                                 0037
Clatronic                               1593
Combitech                               0352
Craig                                   0037, 0240
Crosley                                 0081
Crown                                   0037
Curtis Mathes                           0060, 0035, 0162, 0240
Cybernex                                0240
Cyrus                                   0081
Daewoo                                  0045, 0104, 0352, 0642, 1137
Dantax                                  0348, 0352, 0742
De Graaf                                0048, 0081, 0042, 0104
Decca                                   0081, 0067, 0352
Denon                                   0042
Diamant                                 0037
Diamond                                 0348
Dick Smith Electronics                  0642
Digitor                                 0642
DirecTV                                 0739
DSE                                     0642, 1593
Dual                                    0081, 0348
Dumont                                  0081, 0104
Durabrand                               0039, 0642, 1593
Electrohome                             0037, 0043
Electrophonic                           0037
Elin                                    0240
Emerex                                  0032
Emerson                                 0035, 0037, 0184, 0240, 0045, 0043, 0348, 0479, 
                                        1593
ESA                                     1137
ESC                                     0240
EuroLine                                1593
Ferguson                                0320, 0348, 0742
Fidelity                                0240, 0352
Finlandia                               0037, 0048, 0081, 0042, 0104, 0043, 0226
Finlux                                  0081, 0042, 0104
Firstline                               0037, 0045, 0042, 0043, 0348, 1137
Fisher                                  0104
Flint                                   0348
Fuji                                    0035, 0033
Fujitsu                                 0045
Fujitsu General                         0037
Funai                                   1593
GE                                      0060, 0035, 0048, 0240, 0226, 0320
GEC                                     0081
General                                 0045
General Technic                         0348
Genexxa                                 0104
GFM                                     1593
Go Video                                0240, 0614, 1137
GoldStar                                0037, 0226, 1137
Goodmans                                0037, 0081, 0240, 0348, 0352, 0642, 0742
GPX                                     0037
Gradiente                               1137
Graetz                                  0240, 0104
Granada                                 0037, 0048, 0081, 0240, 0042, 0104, 0226
Grandin                                 0037, 0742
Grundig                                 0081, 0226, 0320, 0347, 0348, 0352, 0742
Haaz                                    0348
Hanimex                                 0352
Hanseatic                               0037, 0081
Haojie                                  0240
Harman/Kardon                           0081
Hinari                                  0240, 0352
Hisawa                                  0352
Hischito                                0045
Hitachi                                 0037, 0081, 0240, 0042
Hoeher                                  0642
Hornyphon                               0081
Hughes Network Systems                  0042
Humax                                   0739
Hypson                                  0037, 0352
Ingersol                                0240
Instant Replay                          0035, 0226
Interbuy                                0037
Interfunk                               0081, 0104
International                           0037, 0642
Intervision                             0037, 0348
Irradio                                 0037, 0081, 1137
ITT                                     0240, 0104
ITV                                     0037
JMB                                     0348, 0352, 0742
JVC                                     0081, 0045, 0067
Kambrook                                0037
Karcher                                 0081, 0642
KEC                                     0037
Kendo                                   0037, 0348, 0642
Kenwood                                 0067
Kioto                                   0348
Kneissel                                0037, 0348, 0352
Kodak                                   0035, 0037
Kolin                                   0043
LG                                      0037, 0045, 0042, 1137
Lifetec                                 0348
Loewe                                   1062, 0162, 0037, 0081, 1562
Logik                                   0240
Lumatron                                1137
Lunatron                                1137
Luxor                                   0048, 0104, 0043
LXI                                     0037
M Electronic                            0037
Magnavox                                0035, 0039, 0081, 0642, 1593
Magnin                                  0240
Magnum                                  0642
Manesth                                 0081, 0045
Marantz                                 0035, 0081
Marta                                   0037
Mascom                                  0642
Mastec                                  0642
Matsui                                  0037, 0240, 0348, 0352, 0742
Matsushita                              0035, 0162, 0226
Mediator                                0081
Medion                                  0348, 0352, 0642
MEI                                     0035
Memorex                                 0035, 0162, 0037, 0048, 0039, 0240, 0104, 0348, 
                                        0479
Metronic                                0081
Metz                                    1062, 0162, 0037, 0081, 0226, 0347, 0836, 1562
MGA                                     0240, 0043
MGN Technology                          0240
Micormay                                0348
Minolta                                 0042
Mitsubishi                              0048, 0081, 0067, 0043, 0642
Motorola                                0035, 0048
MTC                                     0240
Multitec                                0037
Myryad                                  0081
NAD                                     0104
Naiko                                   0348, 0642
NAP                                     0039
National                                0226
Nebula Electronics                      0033
NEC                                     0035, 0037, 0048, 0104, 0067, 1137
Neckermann                              0081
Neufunk                                 1137
Newave                                  0037
Nikko                                   0037
Noblex                                  0240
Nokia                                   0048, 0081, 0240, 0042, 0104
Nordmende                               0067, 0320, 0642
Oceanic                                 0048, 0081, 0104, 0320
Okano                                   0348
Olympus                                 0035, 0226
Onimax                                  0642
Optimus                                 1062, 0162, 0037, 0048, 0104
Orion                                   0184, 0348, 0352, 0479, 0742
Osaki                                   0037
Otto Versand                            0081
Pace                                    0352
Pacific                                 0348, 0642, 0742
Palladium                               0037, 0348
Palsonic                                0642
Panasonic                               1062, 0035, 0162, 0226, 0614, 0616, 0836, 1562
Pathe Cinema                            0043
Penney                                  0035, 0037, 0240, 0042
Pentax                                  0042
Philco                                  0035, 0226, 0479
Philips                                 0739, 0035, 0081, 0226
Phonola                                 0081
Pilot                                   0037
Pioneer                                 0162, 0081, 0042, 0067
Polk Audio                              0081
Presidian                               1593
Profitronic                             0081, 0240
Proline                                 0320, 0642
Proscan                                 0060
Protech                                 0081
Pulsar                                  0039
Pye                                     0081
Qisheng                                 0060
Quasar                                  0035, 0162
Quelle                                  0081
Radialva                                0037, 0048, 0081
Radiola                                 0081
Radionette                              0037, 1137
RadioShack                              0037
Radix                                   0037
Randex                                  0037
RCA                                     0060, 0035, 0048, 0240, 0042, 0226, 0320
Realistic                               0035, 0037, 0048, 0104
Reoc                                    0348
ReplayTV                                0614, 0616
Rio                                     1137
Roadstar                                0037, 0081, 0240, 0742
Runco                                   0039
Saba                                    0320
Saisho                                  0348
Salora                                  0104, 0043
Sampo                                   0037, 0048
Samsung                                 0240, 0045, 0742
Sanky                                   0048, 0039
Sansei                                  0048
Sansui                                  0067, 0348, 0479
Sanyo                                   0048, 0240, 0104, 0067, 0348, 1137
Saville                                 0240, 0352
SBR                                     0081
ScanSonic                               0240
Sceptre                                 0104
Schaub Lorenz                           0104, 0348
Schneider                               0037, 0081, 0240, 0042, 0348, 0352, 0642, 1137
Scott                                   0184, 0045, 0043
Sears                                   0035, 0037, 0042, 0104
SEG                                     0081, 0240, 0642
SEI                                     0081
Sei-Sinudyne                            0081
Seleco                                  0037
Semivox                                 0045
Semp                                    0045
Sharp                                   0037, 0048, 1137
Shintom                                 0104
Shivaki                                 0037
Shogun                                  0240
Siemens                                 0037, 0081, 0104, 0320, 0347
Siera                                   0081
Signature                               0035
Silva                                   0037
Silva Schneider                         1137
SilverCrest                             0642
Singer                                  0045, 0348
Sinudyne                                0081, 0352
Skantic                                 0348
Smaragd                                 0348
Sonic Blue                              0614, 0616, 1137
Sonolor                                 0048
Sontec                                  0037
Sonwa                                   0642
Sony                                    0032, 0035, 0033, 1032
Soundwave                               0037, 0348
STS                                     0042
Sunkai                                  0348
Supra                                   0037, 0348
Sylvania                                0035, 0081, 0043, 1593
Symphonic                               1593
T+A                                     0162
Tandy                                   0104
Tashiko                                 0037, 0048, 0081, 0240
Tatung                                  0048, 0081, 0045, 0067, 0043, 0348, 0352
Tchibo                                  0348
TCM                                     0348
Teac                                    0037, 0642, 1593
Technics                                0035, 0162, 0081, 0226
TechniSat                               0348
Technosonic                             0352
Teco                                    0035, 0037, 0048
Tedelex                                 0037, 0348, 0642
Teknika                                 0035, 0037
Telefunken                              0320, 0642
Telerent                                0226
Telestar                                0037
Tensai                                  0037
Tesla                                   0081
Tevion                                  0348, 0642
Thomson                                 0060, 0067, 0320
Thorn                                   0037, 0104
Tivo                                    0739
TMK                                     0240
Tokai                                   0037, 0104
Topline                                 0348
Toshiba                                 0081, 0045, 0042, 0067, 0043, 0352, 0742
Totevision                              0037, 0240
Tradex                                  0081
Uher                                    0240
Unitech                                 0240
United                                  0348, 0742, 1593
Universum                               0037, 0081, 0240, 0104, 0348, 1137
Vector                                  0045
Victor                                  0067
Video Concepts                          0045
Videomagic                              0037
Videosonic                              0240
Wards                                   0060, 0035, 0048, 0039, 0081, 0033, 0240, 0045, 
                                        0042
Watson                                  0081, 0352, 0642
Weltblick                               0037
Wharfedale                              0642
World                                   0348
XR-1000                                 0035
Yoko                                    0037, 0240
Zenith                                  0037, 0039, 0033, 0479, 1137
ZX                                      0348, 0352


--- DVD/VCR Combination (V) ---

AEG                                     1593
Allegro                                 1137
Centrum                                 1593
CineVision                              1137
Clatronic                               1593
Daewoo                                  1137
DSE                                     1593
Durabrand                               1593
Emerson                                 1593
EuroLine                                1593
Firstline                               1137
Funai                                   1593
GFM                                     1593
Go Video                                1137
GoldStar                                1137
Irradio                                 1137
LG                                      1137
Lunatron                                1137
Magnavox                                1593
NEC                                     1137
Panasonic                               0162, 1562
Philips                                 0081
Presidian                               1593
Radionette                              1137
RCA                                     0060
Rio                                     1137
Sanyo                                   0104
Schneider                               1137
Sharp                                   0048, 1137
Silva Schneider                         1137
Sylvania                                1593
Symphonic                               1593
Teac                                    1593
Thomson                                 0320
Toshiba                                 0045
United                                  1593
Universum                               1137
Zenith                                  1137


--- HTiB (V) ---

Panasonic                               0162


--- SAT/PVR Combination (V) ---

DirecTV                                 0739


--- TV/VCR Combination (V) ---

Aiwa                                    0352, 0479, 0742, 1137
Akai                                    0352
Alba                                    0352
Beko                                    0104
Blue Sky                                0352, 0742
Broksonic                               0479, 0742
Bush                                    0352, 0742
Curtis Mathes                           0035
Dantax                                  0352, 0742
Emerson                                 0479
Ferguson                                0742
GE                                      0060, 0035, 0048, 0240
GoldStar                                0037
Goodmans                                0352, 0742
Gradiente                               1137
Grandin                                 0742
Grundig                                 0081, 0347, 0352, 0742
Hanimex                                 0352
Hinari                                  0352
Hypson                                  0037
JMB                                     0352
Kambrook                                0037
Kneissel                                0352
LG                                      0037
Loewe                                   0037
Magnavox                                0081
Magnin                                  0240
Matsui                                  0352, 0742
Medion                                  0352
Memorex                                 0162, 0037
MGA                                     0240
Mitsubishi                              0048, 0081, 0043
Optimus                                 0162
Orion                                   0352, 0479, 0742
Pace                                    0352
Pacific                                 0742
Panasonic                               0035, 0162
Penney                                  0035, 0037, 0240
Philco                                  0479
Philips                                 0081
Quasar                                  0035, 0162
Radiola                                 0081
RCA                                     0060, 0035, 0048, 0240
Saba                                    0320
Samsung                                 0240, 0742
Sansui                                  0479
Sanyo                                   0240
Saville                                 0352
Schneider                               0081, 0352
Sears                                   0037
Sharp                                   0037, 0048
Shivaki                                 0037
Siemens                                 0081
Sinudyne                                0352
Sony                                    0032
Supra                                   0348
Sylvania                                0081
Tatung                                  0352
Teac                                    0037, 0642
Technics                                0081
Technosonic                             0352
Toshiba                                 0352, 0742
United                                  0742
Zenith                                  0479


--- VCR/PVR Combination (V) ---

JVC                                     0067


###### Setup Codes For Video - DVD (Y) ######

3D LAB                                  0539
4Kus                                    1158
Accurian                                0675, 1416
Acoustic Solutions                      0713, 0730
AEG                                     0675, 0770, 1233, 2173
AFK                                     1051, 1152
AG Electronics                          0713
Aim                                     0672, 0833
Airis                                   0672, 0826, 1005
Aiwa                                    0533
Akai                                    0675, 0695, 0770, 0884, 0898, 1115, 1233
AKI                                     1005
Akura                                   0898, 1051, 1140, 1233, 1493
Alba                                    0672, 0539, 0695, 0713, 0730, 0884, 1140, 1530
Allegro                                 0869
Amitech                                 0770
Amphion Media Works                     0872
Amstrad                                 0713, 0770, 1493, 2139
AMW                                     0872
Ansonic                                 0831, 1493
Apex Digital                            0672, 1004
Arena                                   1115
Aristona                                0539, 0646
Arrgo                                   1023
Audiola                                 1660
Audix                                   0713
Autovox                                 0713
AVideo                                  2173
Awa                                     0730, 0872, 2587
Axil                                    2139
Axion                                   0730
Bang & Olufsen                          2696
Basic Line                              0713
Baze                                    0898
BBK                                     2332
Bel Canto Design                        1571
Bellagio                                1004
Bellwood                                0826
Belson                                  1493, 2139
Belsonic                                1493
Berthen                                 1643
Best Buy                                2139
Black Diamond                           0713, 0833, 0884
Blu:sens                                1233
Blue Parade                             0571
Blue Sky                                0672, 0695, 0713, 0884
Boghe                                   1004
Boman                                   0898, 1005
Brainwave                               0770, 1115
Brandt                                  0503, 0551
Broksonic                               0695
Bush                                    0672, 0713, 0730, 0831, 0833, 0884, 1051, 1140, 
                                        1530
Byd:sign                                0872
C-Tech                                  1152
California Audio Labs                   0490
Cambridge Audio                         2808
Campomatic Digital                      1051
Cat                                     0789
CCE                                     0730
Centrex                                 0672, 1004
Centrum                                 0675, 0713, 0789, 1005
CGV                                     1115
Changhong                               0627
Chili                                   1493
Cinea                                   0831, 0841
Cineral                                 0730
Cinetec                                 0713, 0872
CineVision                              0833, 0869
Citizen                                 0695
CJ Digital                              1643, 2173
Classic                                 0730
Clatronic                               0672, 0675, 1233
Clayton                                 0713
CMX                                     1643
Coby                                    0730
Codex                                   1233
Compacks                                0826
Conia                                   0672
Contel                                  2331
Continental Edison                      0831, 0872
Craig                                   0831
Crown                                   0713, 0770, 1115
Curtis                                  1493
Cybercom                                0831
CyberHome                               0816, 1023
D-Vision                                1115
Daenyx                                  0872
Daewoo                                  0770, 0833, 0869, 0872
Dansai                                  0770, 1115
Dantax                                  0539, 0713
Datsun                                  1233
Daytek                                  0872, 1005
Dayton                                  0872, 1158
DCE                                     0831
Decca                                   0770, 1115
Denon                                   0490, 0634, 1634, 2258
Denver                                  0672, 0898, 1493
Dgtec                                   0672
Diamond                                 0768
Dick Smith Electronics                  0833, 1152
Digihome                                0713
DigiLogic                               0713
Digital                                 2173
DigitalMax                              1738
Digitor                                 0833, 1005
Digitrex                                0672, 1004
Digix Media                             0826
DiK                                     0831
Disney                                  0675, 0831, 1270
DK Digital                              0831, 1643, 1660
DMTech                                  2173
Dragon                                  0831
DSE                                     0675, 0833, 1152
Dual                                    0713, 0730, 0831, 0884, 1023, 1115, 1530
Durabrand                               0675, 0713, 0831, 1023, 1530
DVS                                     0672
DVX                                     0768
E:max                                   0770, 1233, 1643
eBench                                  1152
ECC                                     0730
Elfunk                                  0713, 0884
Elin                                    0770
Elite                                   1152
Elta                                    0672, 0770, 1051, 1115, 1233, 1643, 2173
Eltax                                   1233
Emerson                                 0591, 0675
Enterprise                              0591
EuroLine                                0675, 1115, 1233, 1643
F&U                                     2172
Ferguson                                0695, 0713, 0884, 0898
Finlux                                  0672, 0591, 0741, 0770
Fintec                                  1530
Firstline                               0713, 0869, 1530
Fisher                                  0670
Funai                                   0675, 0695
Gateway                                 1158
GE                                      0522
Germatic                                1051
GFM                                     0675
Global Solutions                        0768
Global Sphere                           1152
Go Video                                0744, 0741, 0833, 0869, 1044, 1075, 1158
GoldStar                                0591, 0741, 0869
Goodmans                                0713, 0730, 0833, 1004, 1140, 1152, 1530
GoWell                                  1643
GP Audio                                1140
GPX                                     0741
Gran Prix                               0831, 0898
Grandin                                 0713, 1233, 2173
Grundig                                 0539, 0551, 0670, 0695, 0713, 1004, 1416, 1643
Grunkel                                 0770, 0831, 1493
GVG                                     0770
H & B                                   0713, 0841, 1233, 2173
Haaz                                    1152
Hanseatic                               0741
Harman/Kardon                           0702
HE                                      0730, 1493
Hello Kitty                             0831
Henss                                   0713
Hitachi                                 0573, 0664, 0695, 0713, 0884, 1748, 1764
Hiteker                                 0672
Hoeher                                  0713, 0826, 0831, 1004, 1530, 2173
Home Electronics                        0730, 0770
Home Tech Industries                    1643
HotMedia                                1152
Humax                                   0646
HYD                                     1233
Hyundai                                 0768, 0826, 0833, 1660
Ingersol                                1023
Inno Hit                                0713
Insignia                                0675, 0741, 2428, 2596
Integra                                 0571, 1769, 0627, 1634, 2147
Irradio                                 0646, 0869, 1115, 1233
ISP                                     0695
ITT                                     1233
JBL                                     0702
JDB                                     0730
JGC                                     1530
JMB                                     0695
JNC                                     0672
JVC                                     0503, 0539, 0623, 1164, 1550, 1602, 2365
jWin                                    1051
Kansas Technologies                     1233, 1530
Kazuki                                  1493
Kendo                                   0672, 0713, 0831
Kennex                                  0713, 0770, 0898
Kenwood                                 0490, 0534
KeyPlug                                 1643
Kiiro                                   0770
King D'Home                             0833
King Vision                             1493, 1643
Kiss                                    0841
Landel                                  0826
Lawson                                  0768
Lazer                                   2173
Leiker                                  0872
Lenco                                   0713, 0770
Lenoxx                                  1005
Lexia                                   0768
LG                                      0591, 0741, 0869, 1233, 1602, 2189
Lifetec                                 0831
Limit                                   0768
LiteOn                                  1158, 1416, 1738
LM                                      1643
Lodos                                   0713, 0884
Loewe                                   0539, 0741
Logik                                   0713, 0884
Lumatron                                0695, 0713, 0741, 0833, 1115
Lunatron                                0741
Luxman                                  0573
Luxor                                   0713, 0884, 1004
Magnavox                                0503, 0539, 0646, 0675, 0713, 1140, 1354, 1506
Magnum                                  1382
Manhattan                               0713
Manta                                   1493
Marantz                                 0539, 2414
Mark                                    0713
Marquant                                0770
Matsui                                  0672, 0695, 0713, 0884, 1004
Maxim                                   0713, 0872
MBO                                     0730
McIntosh                                1533
MDS                                     0713
Mecotek                                 0770
Medion                                  0630, 0741, 0831, 1270, 2189
Memorex                                 0695, 0831, 1270, 2213
Metz                                    0525, 0571, 0713
Micromaxx                               0695
Micromedia                              0503, 0539
Micromega                               0539, 1005
Microsoft                               0522, 2083, 1708
Microstar                               0831
Minax                                   0713
Minoka                                  0770, 1115
Mitsubishi                              1521, 0713
Mizuda                                  0770
Mustek                                  0730
Muvid                                   1493, 1643, 2173
Mystral                                 0831
NAD                                     0741, 2572
Naiko                                   0770, 1004
NEC                                     0741, 0869, 1602
Neom                                    1493, 1643
Nevir                                   0672, 0770, 0831, 1660
Next Base                               0826
NFREN                                   0826
Nintaus                                 1051
Noblex                                  1233
Norcent                                 0872
Nordmende                               0831, 1530
Nortek                                  1643, 2173
Nu-Tec                                  1493
Olevia                                  2331
Olidata                                 0672
Omni                                    0833
Onida                                   1004
Onkyo                                   0503, 1769, 0627, 2147
Oopla                                   1158
Oppo                                    0575, 2545
Optimus                                 0525
Orbit                                   0872, 1643
Orion                                   0695, 0713, 1233
Ormond                                  0713
Otic                                    0826
Pacific                                 0713, 0768, 0831
Packard Bell                            0831
Palladium                               0695, 0713
Palsonic                                0672, 0833
